"county","tract","blockgroup","cbsa20","CountyName","CBSAName20","pop20","afact"
"County code","Tract","Block group","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","blockgroup-to-cbsa20 allocation factor"
"01009","0506.04","1","13820","Blount AL","Birmingham-Hoover, AL",1655,1 
"01009","0506.04","2","13820","Blount AL","Birmingham-Hoover, AL",455,1 
"01009","0506.04","3","13820","Blount AL","Birmingham-Hoover, AL",979,1 
"01009","0506.04","4","13820","Blount AL","Birmingham-Hoover, AL",2234,1 
"01009","0507.01","1","13820","Blount AL","Birmingham-Hoover, AL",1474,1 
"01009","0507.01","2","13820","Blount AL","Birmingham-Hoover, AL",2339,1 
"01009","0507.01","3","13820","Blount AL","Birmingham-Hoover, AL",1422,1 
"01009","0507.01","4","13820","Blount AL","Birmingham-Hoover, AL",599,1 
"01009","0507.02","1","13820","Blount AL","Birmingham-Hoover, AL",1455,1 
"01009","0507.02","2","13820","Blount AL","Birmingham-Hoover, AL",1755,1 
"01011","9521.00","1","99999","Bullock AL","[not in any CBSA]",1272,1 
"01011","9522.01","1","99999","Bullock AL","[not in any CBSA]",1309,1 
"01011","9522.01","2","99999","Bullock AL","[not in any CBSA]",1114,1 
"01011","9522.02","1","99999","Bullock AL","[not in any CBSA]",1536,1 
"01011","9522.02","2","99999","Bullock AL","[not in any CBSA]",474,1 
"01011","9522.02","3","99999","Bullock AL","[not in any CBSA]",2331,1 
"01011","9525.00","1","99999","Bullock AL","[not in any CBSA]",742,1 
"01011","9525.00","2","99999","Bullock AL","[not in any CBSA]",683,1 
"01011","9525.00","3","99999","Bullock AL","[not in any CBSA]",896,1 
"01013","9527.00","1","99999","Butler AL","[not in any CBSA]",1783,1 
"01013","9527.00","2","99999","Butler AL","[not in any CBSA]",732,1 
"01013","9528.00","1","99999","Butler AL","[not in any CBSA]",1411,1 
"01013","9529.00","1","99999","Butler AL","[not in any CBSA]",826,1 
"01013","9529.00","2","99999","Butler AL","[not in any CBSA]",1133,1 
"01013","9530.00","1","99999","Butler AL","[not in any CBSA]",523,1 
"01013","9530.00","2","99999","Butler AL","[not in any CBSA]",707,1 
"01013","9531.00","1","99999","Butler AL","[not in any CBSA]",1110,1 
"01013","9531.00","2","99999","Butler AL","[not in any CBSA]",787,1 
"01013","9531.00","3","99999","Butler AL","[not in any CBSA]",629,1 
"01013","9532.00","1","99999","Butler AL","[not in any CBSA]",549,1 
"01013","9532.00","2","99999","Butler AL","[not in any CBSA]",1084,1 
"01013","9532.00","3","99999","Butler AL","[not in any CBSA]",1659,1 
"01013","9532.00","4","99999","Butler AL","[not in any CBSA]",695,1 
"01013","9533.00","1","99999","Butler AL","[not in any CBSA]",927,1 
"01013","9533.00","2","99999","Butler AL","[not in any CBSA]",785,1 
"01013","9534.00","1","99999","Butler AL","[not in any CBSA]",1225,1 
"01013","9534.00","2","99999","Butler AL","[not in any CBSA]",1167,1 
"01013","9535.00","1","99999","Butler AL","[not in any CBSA]",1319,1 
"01015","0002.00","1","11500","Calhoun AL","Anniston-Oxford, AL",1125,1 
"01015","0002.00","2","11500","Calhoun AL","Anniston-Oxford, AL",1804,1 
"01015","0003.00","1","11500","Calhoun AL","Anniston-Oxford, AL",994,1 
"01015","0003.00","2","11500","Calhoun AL","Anniston-Oxford, AL",1320,1 
"01015","0004.00","1","11500","Calhoun AL","Anniston-Oxford, AL",893,1 
"01015","0004.00","2","11500","Calhoun AL","Anniston-Oxford, AL",623,1 
"01015","0004.00","3","11500","Calhoun AL","Anniston-Oxford, AL",907,1 
"01015","0005.00","1","11500","Calhoun AL","Anniston-Oxford, AL",663,1 
"01015","0005.00","2","11500","Calhoun AL","Anniston-Oxford, AL",434,1 
"01015","0006.00","1","11500","Calhoun AL","Anniston-Oxford, AL",1121,1 
"01015","0006.00","2","11500","Calhoun AL","Anniston-Oxford, AL",659,1 
"01015","0007.00","1","11500","Calhoun AL","Anniston-Oxford, AL",700,1 
"01015","0007.00","2","11500","Calhoun AL","Anniston-Oxford, AL",1311,1 
"01015","0007.00","3","11500","Calhoun AL","Anniston-Oxford, AL",935,1 
"01015","0007.00","4","11500","Calhoun AL","Anniston-Oxford, AL",6,1 
"01015","0008.00","1","11500","Calhoun AL","Anniston-Oxford, AL",1752,1 
"01015","0009.00","1","11500","Calhoun AL","Anniston-Oxford, AL",846,1 
"01015","0009.00","2","11500","Calhoun AL","Anniston-Oxford, AL",1435,1 
"01015","0009.00","3","11500","Calhoun AL","Anniston-Oxford, AL",1136,1 
"01015","0010.00","1","11500","Calhoun AL","Anniston-Oxford, AL",1773,1 
"01015","0010.00","2","11500","Calhoun AL","Anniston-Oxford, AL",1433,1 
"01015","0010.00","3","11500","Calhoun AL","Anniston-Oxford, AL",929,1 
"01015","0010.00","4","11500","Calhoun AL","Anniston-Oxford, AL",1583,1 
"01015","0011.01","1","11500","Calhoun AL","Anniston-Oxford, AL",447,1 
"01015","0011.01","2","11500","Calhoun AL","Anniston-Oxford, AL",1325,1 
"01015","0011.02","1","11500","Calhoun AL","Anniston-Oxford, AL",667,1 
"01015","0011.02","2","11500","Calhoun AL","Anniston-Oxford, AL",775,1 
"01015","0011.03","1","11500","Calhoun AL","Anniston-Oxford, AL",475,1 
"01015","0011.03","2","11500","Calhoun AL","Anniston-Oxford, AL",2510,1 
"01015","0011.03","3","11500","Calhoun AL","Anniston-Oxford, AL",678,1 
"01015","0012.01","1","11500","Calhoun AL","Anniston-Oxford, AL",1115,1 
"01015","0012.01","2","11500","Calhoun AL","Anniston-Oxford, AL",1149,1 
"01015","0012.01","3","11500","Calhoun AL","Anniston-Oxford, AL",1097,1 
"01015","0012.02","1","11500","Calhoun AL","Anniston-Oxford, AL",1434,1 
"01015","0012.02","2","11500","Calhoun AL","Anniston-Oxford, AL",1044,1 
"01015","0012.02","3","11500","Calhoun AL","Anniston-Oxford, AL",1826,1 
"01015","0013.00","1","11500","Calhoun AL","Anniston-Oxford, AL",1103,1 
"01015","0013.00","2","11500","Calhoun AL","Anniston-Oxford, AL",903,1 
"01015","0014.00","1","11500","Calhoun AL","Anniston-Oxford, AL",562,1 
"01015","0014.00","2","11500","Calhoun AL","Anniston-Oxford, AL",797,1 
"01015","0014.00","3","11500","Calhoun AL","Anniston-Oxford, AL",1090,1 
"01015","0014.00","4","11500","Calhoun AL","Anniston-Oxford, AL",711,1 
"01015","0015.01","1","11500","Calhoun AL","Anniston-Oxford, AL",1165,1 
"01015","0015.01","2","11500","Calhoun AL","Anniston-Oxford, AL",1009,1 
"01015","0015.01","3","11500","Calhoun AL","Anniston-Oxford, AL",1247,1 
"01015","0015.02","1","11500","Calhoun AL","Anniston-Oxford, AL",1301,1 
"01015","0015.02","2","11500","Calhoun AL","Anniston-Oxford, AL",423,1 
"01015","0016.00","1","11500","Calhoun AL","Anniston-Oxford, AL",726,1 
"01015","0016.00","2","11500","Calhoun AL","Anniston-Oxford, AL",1065,1 
"01015","0016.00","3","11500","Calhoun AL","Anniston-Oxford, AL",965,1 
"01015","0016.00","4","11500","Calhoun AL","Anniston-Oxford, AL",757,1 
"01015","0017.00","1","11500","Calhoun AL","Anniston-Oxford, AL",1779,1 
"01015","0017.00","2","11500","Calhoun AL","Anniston-Oxford, AL",2071,1 
"01015","0017.00","3","11500","Calhoun AL","Anniston-Oxford, AL",1426,1 
"01015","0017.00","4","11500","Calhoun AL","Anniston-Oxford, AL",747,1 
"01015","0018.01","1","11500","Calhoun AL","Anniston-Oxford, AL",1038,1 
"01015","0018.01","2","11500","Calhoun AL","Anniston-Oxford, AL",1402,1 
